train/ent_coef,train/n_updates,time/fps,rollout/ep_rew_mean,train/ent_coef_loss,train/actor_loss,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,time/episodes,train/critic_loss
0.0945279449224472,189,0,41.5127205,-3.6775834560394287,-1.0829384326934814,950,200,50.0,0.0003,4,0.04909425973892212
0.0896148830652237,389,0,42.2070535,-3.368572950363159,-1.7213213443756104,1894,400,50.0,0.0003,8,0.018767114728689194
0.08528357744216919,589,0,42.54437458333334,-2.6344213485717773,-2.415802001953125,2814,600,50.0,0.0003,12,0.007048056926578283
0.08086546510457993,789,0,42.643786750000004,-3.051307439804077,-3.1215391159057617,3754,800,50.0,0.0003,16,0.010633481666445732
0.07629002630710602,989,0,42.6311496,-3.379962205886841,-3.9088621139526367,4674,1000,50.0,0.0003,20,0.004743846133351326
0.07182873040437698,1189,0,42.65051391666667,-3.333211898803711,-4.657302379608154,5618,1200,50.0,0.0003,24,0.0027904107701033354
0.06758017838001251,1389,0,42.66715860714286,-3.634193181991577,-5.440018653869629,6564,1400,50.0,0.0003,28,0.003181827487424016
0.06362970173358917,1589,0,42.673633281250005,-3.72220778465271,-6.223898887634277,7518,1600,50.0,0.0003,32,0.0023592342622578144
0.0599808469414711,1789,0,42.67579355555556,-3.919044017791748,-6.977658271789551,8448,1800,50.0,0.0003,36,0.004188663326203823
0.05663309618830681,1989,0,42.692837075,-3.2469563484191895,-7.744441986083984,9391,2000,50.0,0.0003,40,0.0036906441673636436
0.0535270981490612,2189,0,42.71015090909091,-3.5378730297088623,-8.521364212036133,10321,2200,50.0,0.0003,44,0.00285855820402503
0.05060042068362236,2389,0,42.7606744375,-3.2924766540527344,-9.255121231079102,11248,2400,50.0,0.0003,48,0.004185923840850592
0.047842614352703094,2589,0,42.78207330769231,-3.661555528640747,-9.990614891052246,12169,2600,50.0,0.0003,52,0.002978337462991476
0.04518292099237442,2789,0,42.80423464285714,-3.960979461669922,-10.753596305847168,13110,2800,50.0,0.0003,56,0.0022614996414631605
0.042692385613918304,2989,0,42.83254396666667,-3.805375099182129,-11.488329887390137,14042,3000,50.0,0.0003,60,0.0023561797570437193
0.040385372936725616,3189,0,42.867183453124994,-3.972043991088867,-12.230521202087402,14975,3200,50.0,0.0003,64,0.0027734278701245785
0.03824276477098465,3389,0,42.92146814705881,-3.3747353553771973,-12.928192138671875,15846,3400,50.0,0.0003,68,0.0031131133437156677
0.036269862204790115,3589,0,43.114701958333335,-3.5368919372558594,-13.63854694366455,16561,3600,50.0,0.0003,72,0.0036462037824094296
0.03443743288516998,3789,0,43.286906131578945,-3.0816712379455566,-14.392640113830566,17279,3800,50.0,0.0003,76,0.004092712886631489
0.032743096351623535,3989,0,43.4174817875,-2.3148810863494873,-15.088241577148438,18092,4000,50.0,0.0003,80,0.003002835437655449
0.031185001134872437,4189,0,43.56377228571429,-2.765475273132324,-15.818496704101562,18817,4200,50.0,0.0003,84,0.003895828500390053
0.0297551192343235,4389,0,43.733835647727275,-3.205129384994507,-16.52741241455078,19477,4400,50.0,0.0003,88,0.0033201011829078197
0.02845226228237152,4589,0,43.88182952173913,-2.496931791305542,-17.226795196533203,20219,4600,50.0,0.0003,92,0.006759193260222673
0.02728504315018654,4789,0,44.03260502083333,-2.578627109527588,-17.94263458251953,20906,4800,50.0,0.0003,96,0.005145784001797438
