time/total_timesteps,train/actor_loss,train/critic_loss,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/ent_coef_loss,rollout/ep_len_mean,time/fps,train/ent_coef,train/n_updates
200,-1.330319881439209,0.008558286353945732,4,42.64332175,610,0.0003,-3.535114049911499,50.0,0,0.0947183296084404,189
400,-1.9602880477905273,0.002383377170190215,8,43.151997,1223,0.0003,-3.534228801727295,50.0,0,0.08948511630296707,389
600,-2.6735832691192627,0.0023366129025816917,12,43.377514749999996,1832,0.0003,-3.6854400634765625,50.0,0,0.08432997018098831,589
800,-3.429011344909668,0.001762501196935773,16,43.424020687500004,2445,0.0003,-3.721118450164795,50.0,0,0.07939974963665009,789
1000,-4.240771770477295,0.0023411433212459087,20,43.4310463,3064,0.0003,-3.7865536212921143,50.0,0,0.07476741820573807,989
1200,-5.1037068367004395,0.002665320411324501,24,43.504606208333335,3701,0.0003,-3.9458019733428955,50.0,0,0.07046634703874588,1189
1400,-5.908566474914551,0.0019889180548489094,28,43.481973499999995,4312,0.0003,-4.054586410522461,50.0,0,0.06646629422903061,1389
1600,-6.773980140686035,0.004514751955866814,32,43.54100321875,4927,0.0003,-4.0547332763671875,50.0,0,0.06275112181901932,1589
1800,-7.628287315368652,0.002772103063762188,36,43.608529749999995,5535,0.0003,-3.9328131675720215,50.0,0,0.05927163362503052,1789
2000,-8.438484191894531,0.003256186842918396,40,43.662936,6145,0.0003,-3.7201709747314453,50.0,0,0.05599600821733475,1989
2200,-9.354897499084473,0.0021517521236091852,44,43.70753227272728,6762,0.0003,-3.6434004306793213,50.0,0,0.05290239304304123,2189
2400,-10.18731689453125,0.0012055370025336742,48,43.735555125,7376,0.0003,-4.122193336486816,50.0,0,0.050000641494989395,2389
2600,-11.061302185058594,0.0030806432478129864,52,43.76389219230768,7994,0.0003,-3.475402355194092,50.0,0,0.047290459275245667,2589
2800,-11.938667297363281,0.003157525323331356,56,43.80565035714286,8611,0.0003,-3.7827229499816895,50.0,0,0.04474619776010513,2789
3000,-12.842059135437012,0.002475552959367633,60,43.85550343333334,9226,0.0003,-4.02462911605835,50.0,0,0.04234661906957626,2989
3200,-13.701294898986816,0.0021965785417705774,64,43.8709550625,9847,0.0003,-3.7630367279052734,50.0,0,0.04008886590600014,3189
3400,-14.519392013549805,0.003971154801547527,68,43.88653583823529,10461,0.0003,-3.8251049518585205,50.0,0,0.03796916827559471,3389
3600,-15.431811332702637,0.004005623050034046,72,43.91398827777778,11079,0.0003,-3.6351072788238525,50.0,0,0.035975705832242966,3589
3800,-16.317073822021484,0.0026794523000717163,76,43.93669085526316,11688,0.0003,-3.883953332901001,50.0,0,0.03410182520747185,3789
4000,-17.18695831298828,0.004170234315097332,80,43.9763432375,12301,0.0003,-3.665303945541382,50.0,0,0.032352857291698456,3989
4200,-18.074325561523438,0.0026819882914423943,84,44.00708036904762,12911,0.0003,-3.271522283554077,50.0,0,0.03072248585522175,4189
4400,-18.951913833618164,0.0023252596147358418,88,44.034426113636364,13526,0.0003,-3.304478645324707,50.0,0,0.02916000597178936,4389
4600,-19.82992935180664,0.009152627550065517,92,44.05642117391305,14137,0.0003,-2.863189220428467,50.0,0,0.02767387591302395,4589
4800,-20.706619262695312,0.0023320517502725124,96,44.08319021875,14747,0.0003,-2.9614529609680176,50.0,0,0.02623574063181877,4789
