train/critic_loss,train/learning_rate,rollout/ep_len_mean,train/ent_coef,time/total_timesteps,time/fps,time/episodes,train/ent_coef_loss,train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,train/n_updates
0.007929733023047447,0.0003,50.0,0.09471204876899719,200,0,4,-3.5525503158569336,-1.3412426710128784,42.685584250000005,613,189
0.002341718878597021,0.0003,50.0,0.08947727084159851,400,0,8,-3.5530543327331543,-1.933786392211914,43.25290475,1218,389
0.0022309364285320044,0.0003,50.0,0.08434471487998962,600,0,12,-3.6524322032928467,-2.638665199279785,43.4765855,1830,589
0.001626774319447577,0.0003,50.0,0.07949364185333252,800,0,16,-3.676565647125244,-3.3731818199157715,43.5539023125,2461,789
0.0021277056075632572,0.0003,50.0,0.07492095232009888,1000,0,20,-3.612184524536133,-4.1314802169799805,43.6021272,3069,989
0.0019848435185849667,0.0003,50.0,0.0706288069486618,1200,0,24,-3.8824973106384277,-4.8818206787109375,43.647830416666665,3684,1189
0.0028542131185531616,0.0003,50.0,0.06663995236158371,1400,0,28,-4.071356773376465,-5.686110019683838,43.65075139285714,4286,1389
0.0023324801586568356,0.0003,50.0,0.06291547417640686,1600,0,32,-3.9892168045043945,-6.528374671936035,43.736188999999996,4892,1589
0.002466963604092598,0.0003,50.0,0.05941363796591759,1800,0,36,-3.9539942741394043,-7.276224136352539,43.80642369444444,5496,1789
0.002251108642667532,0.0003,50.0,0.05611448362469673,2000,0,40,-3.563647747039795,-8.011137962341309,43.87072332499999,6109,1989
0.0022713402286171913,0.0003,50.0,0.05303429812192917,2200,0,44,-3.5486533641815186,-8.867301940917969,43.92783022727272,6718,2189
0.0021167341619729996,0.0003,50.0,0.05014956742525101,2400,0,48,-4.062159061431885,-9.639876365661621,43.94810147916667,7338,2389
0.0021127858199179173,0.0003,50.0,0.047433823347091675,2600,0,52,-3.3937735557556152,-10.417093276977539,43.983744807692304,7955,2589
0.0024388073943555355,0.0003,50.0,0.04489826411008835,2800,0,56,-3.6704111099243164,-11.17282485961914,44.041487357142856,8562,2789
0.004994104616343975,0.0003,50.0,0.04249447584152222,3000,0,60,-3.9951083660125732,-11.935526847839355,44.091229616666666,9170,2989
0.0025245470460504293,0.0003,50.0,0.04019872099161148,3200,0,64,-3.818913459777832,-12.710034370422363,44.119984296874996,9781,3189
0.003995167091488838,0.0003,50.0,0.03804103285074234,3400,0,68,-3.884051561355591,-13.409799575805664,44.14820948529411,10387,3389
0.004729750100523233,0.0003,50.0,0.03602074086666107,3600,0,72,-3.797865629196167,-14.158607482910156,44.18503568055556,10991,3589
0.009130037389695644,0.0003,50.0,0.03411075472831726,3800,0,76,-4.171006679534912,-14.916936874389648,44.22537121052632,11598,3789
0.0036042635329067707,0.0003,50.0,0.03231208771467209,4000,0,80,-3.914876937866211,-15.621078491210938,44.26054545,12212,3989
0.0029158033430576324,0.0003,50.0,0.030635809525847435,4200,0,84,-3.3441381454467773,-16.371145248413086,44.29787953571429,12816,4189
0.008784772828221321,0.0003,50.0,0.029043322429060936,4400,0,88,-3.693554162979126,-17.05730628967285,44.33066340909091,13424,4389
0.0020496975630521774,0.0003,50.0,0.027545828372240067,4600,0,92,-2.9573872089385986,-17.774538040161133,44.35206773913044,14034,4589
0.0030417332891374826,0.0003,50.0,0.02612152323126793,4800,0,96,-3.005279779434204,-18.499725341796875,44.37610254166666,14644,4789
