train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/ent_coef,train/ent_coef_loss,time/episodes,time/time_elapsed,time/total_timesteps,train/actor_loss,train/learning_rate,train/critic_loss
189,50.0,44.497809249999996,0,0.09464308619499207,-3.63555908203125,4,470,200,-1.1801667213439941,0.0003,0.017114635556936264
389,50.0,45.4560745,0,0.08978424221277237,-3.0624115467071533,8,909,400,-1.492342233657837,0.0003,0.006696544587612152
589,50.0,45.908102250000006,0,0.08504395931959152,-3.440497398376465,12,1349,600,-1.864241600036621,0.0003,0.0014318239409476519
789,50.0,45.998940312500004,0,0.0802551656961441,-3.406137466430664,16,1791,800,-2.241842746734619,0.0003,0.0021727867424488068
989,50.0,46.34364430000001,0,0.07560157030820847,-3.619260311126709,20,2250,1000,-2.6690351963043213,0.0003,0.002331898547708988
1189,50.0,46.821576916666665,0,0.07110503315925598,-3.7762093544006348,24,2704,1200,-3.134834051132202,0.0003,0.002616429701447487
1389,50.0,47.15561671428571,0,0.0668446347117424,-4.196248531341553,28,3143,1400,-3.6156740188598633,0.0003,0.0036283961962908506
1589,50.0,47.41500309375,0,0.06284572184085846,-4.234720706939697,32,3615,1600,-4.1162872314453125,0.0003,0.005348881706595421
1789,50.0,47.61924027777778,0,0.059092871844768524,-4.203932762145996,36,4071,1800,-4.625303745269775,0.0003,0.0034891897812485695
1989,50.0,47.780301125,0,0.055618029087781906,-4.146475791931152,40,4523,2000,-5.110873699188232,0.0003,0.004365791566669941
2189,50.0,47.91097538636364,0,0.05231425166130066,-4.51812744140625,44,4962,2200,-5.605810642242432,0.0003,0.00446588359773159
2389,50.0,48.023262875,0,0.04922278970479965,-4.690149784088135,48,5466,2400,-6.127985000610352,0.0003,0.006113328505307436
2589,50.0,48.11639138461539,0,0.04633091017603874,-4.632577419281006,52,5904,2600,-6.643285751342773,0.0003,0.005016620270907879
2789,50.0,48.181729625,0,0.04362037032842636,-4.734267234802246,56,6345,2800,-7.138915061950684,0.0003,0.003452752251178026
2989,50.0,48.231032366666675,0,0.04107875004410744,-4.999927997589111,60,6788,3000,-7.654931545257568,0.0003,0.0036729732528328896
3189,50.0,48.28428946875,0,0.0387050025165081,-4.82574462890625,64,7233,3200,-8.159781455993652,0.0003,0.0036707515828311443
3389,50.0,48.33800785294119,0,0.03645111992955208,-4.722017288208008,68,7671,3400,-8.635648727416992,0.0003,0.003904185490682721
3589,50.0,48.38581386111112,0,0.034325674176216125,-4.832184791564941,72,8111,3600,-9.089651107788086,0.0003,0.002482572104781866
3789,50.0,48.42884478947369,0,0.03232015296816826,-5.255483150482178,76,8550,3800,-9.588118553161621,0.0003,0.0037485763896256685
3989,50.0,48.4645395,0,0.03042461909353733,-5.262097358703613,80,8996,4000,-10.069649696350098,0.0003,0.0055216457694768906
4189,50.0,48.49277564285714,0,0.028633898124098778,-5.562819004058838,84,9447,4200,-10.586431503295898,0.0003,0.004532589111477137
4389,50.0,48.51668501136364,0,0.026955919340252876,-5.458425521850586,88,9911,4400,-11.01674747467041,0.0003,0.005249409936368465
4589,50.0,48.538484108695656,0,0.025397464632987976,-4.756016254425049,92,10364,4600,-11.571218490600586,0.0003,0.0031913300044834614
4789,50.0,48.559008552083334,0,0.023934610188007355,-5.2868218421936035,96,10803,4800,-12.033945083618164,0.0003,0.004313289187848568
