time/episodes,train/learning_rate,time/fps,train/actor_loss,train/critic_loss,train/ent_coef_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef,train/std,train/n_updates,time/time_elapsed,time/total_timesteps
4,0.0007,0,-2.146358946338296,0.392098126350902,-0.10132409608922899,32.565195499999994,50.0,0.9404477523639798,0.36764776706695557,128,602,200
8,0.0007,0,-5.3690646812319756,0.20142371905967593,-0.3253687801770866,35.77667675,50.0,0.8225333420559764,0.36756131052970886,320,1257,400
12,0.0007,0,-8.991871625185013,0.4720693203853443,-0.5345226172357798,36.107222666666665,50.0,0.7182641476392746,0.36755383014678955,512,1901,600
16,0.0007,0,-12.347437679767609,0.4779860525159165,-0.7642327777575701,36.766889375000005,50.0,0.628096129745245,0.36753273010253906,704,2517,800
20,0.0007,0,-15.234226062893867,0.47098298952914774,-0.9645017324946821,37.561951400000005,50.0,0.5497590843588114,0.36745119094848633,896,3132,1000
24,0.0007,0,-17.591844528913498,0.42169187869876623,-1.1765051558613777,36.97578933333333,50.0,0.4818583340384066,0.36742526292800903,1088,3782,1200
28,0.0007,0,-19.66936594247818,0.544318002415821,-1.4798160111531615,36.41013671428571,50.0,0.42201145365834236,0.36736536026000977,1280,4486,1400
32,0.0007,0,-21.273131877183914,0.4454149208031595,-1.654201184399426,36.9078621875,50.0,0.36961240228265524,0.3673998713493347,1472,5148,1600
36,0.0007,0,-23.045319974422455,0.4878513303119689,-1.953341944143176,36.43004175,50.0,0.3105186284519732,0.3674355745315552,1728,5876,1800
40,0.0007,0,-24.169755399227142,0.4158272687345743,-2.2042228719219565,36.8011702,50.0,0.27233296539634466,0.367348313331604,1920,6518,2000
44,0.0007,0,-25.064781963825226,0.4636643014382571,-2.3130514957010746,37.214788954545455,50.0,0.2387780575081706,0.36730894446372986,2112,7175,2200
48,0.0007,0,-25.759331911802292,0.415397169184871,-2.501090433448553,37.03832797916667,50.0,0.20922870934009552,0.3672468066215515,2304,7859,2400
52,0.0007,0,-26.325147956609726,0.39746794349048287,-2.680212873965502,37.17148419230769,50.0,0.18356326059438288,0.36718928813934326,2496,8560,2600
56,0.0007,0,-26.94465783238411,0.30310436512809247,-2.766905039548874,36.99962333928572,50.0,0.16142517235130072,0.36716657876968384,2688,9256,2800
60,0.0007,0,-27.52268385887146,0.2789472823496908,-2.8175595104694366,37.086684233333344,50.0,0.14261916605755687,0.36707860231399536,2880,9975,3000
64,0.0007,0,-27.92808961868286,0.32929071329999715,-3.0365339014679193,36.89186515625,50.0,0.1262604333460331,0.36695316433906555,3072,10685,3200
68,0.0007,0,-28.533295452594757,0.2569533549249172,-3.105547536164522,36.92714375,50.0,0.10759131726808846,0.366645485162735,3328,11422,3400
72,0.0007,0,-28.99838078022003,0.30772399238776416,-3.1735572554171085,36.811958402777776,50.0,0.096105080912821,0.36619049310684204,3520,12064,3600
76,0.0007,0,-29.334899216890335,0.3013401668285951,-2.507395287975669,36.63628032894737,50.0,0.08612702728714794,0.3657197952270508,3712,12731,3800
80,0.0007,0,-29.76073768734932,0.2737902592634782,-2.654923355206847,36.8204233125,50.0,0.07821850606705993,0.3652096688747406,3904,13402,4000
84,0.0007,0,-30.20887377858162,0.248117808252573,-2.379704697057605,37.069422976190474,50.0,0.07115419290494174,0.36490997672080994,4096,14066,4200
88,0.0007,0,-30.61677384376526,0.23737501399591565,-2.309914803132415,37.1823782159091,50.0,0.06514239695388824,0.3644852340221405,4288,14749,4400
92,0.0007,0,-30.97934228181839,0.2925303525989875,-1.9043380352668464,37.189327663043485,50.0,0.059924665838479996,0.36419549584388733,4480,15371,4600
96,0.0007,0,-31.310429275035858,0.28824684279970825,-2.008141779806465,37.36925907291667,50.0,0.05525934154866263,0.36384710669517517,4672,16063,4800
