train/learning_rate,rollout/ep_len_mean,train/n_updates,train/ent_coef,time/time_elapsed,train/critic_loss,time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/fps,train/actor_loss
0.00067214,50.0,189,0.10000000149011612,609,0.0019179123919457197,200,4,35.44007975,0,-2.806591510772705
0.00064414,50.0,389,0.10000000149011612,1220,0.0017168521881103516,400,8,35.38263925,0,-5.570409774780273
0.0006161399999999999,50.0,589,0.10000000149011612,1873,0.0022829370573163033,600,12,35.429155083333335,0,-8.5181303024292
0.00058814,50.0,789,0.10000000149011612,2522,0.0035742805339396,800,16,35.4254604375,0,-11.566949844360352
0.00056014,50.0,989,0.10000000149011612,3139,0.006782693788409233,1000,20,35.46024130000001,0,-14.476616859436035
0.00053214,50.0,1189,0.10000000149011612,3752,0.003409869037568569,1200,24,35.4625775,0,-17.462953567504883
0.0005041399999999999,50.0,1389,0.10000000149011612,4366,0.01511566061526537,1400,28,35.45751275,0,-20.487951278686523
0.00047614,50.0,1589,0.10000000149011612,4980,0.007915200665593147,1600,32,35.4767798125,0,-23.52608299255371
0.00044814,50.0,1789,0.10000000149011612,5589,0.00424711499363184,1800,36,35.47631366666666,0,-26.461206436157227
0.00042014000000000005,50.0,1989,0.10000000149011612,6210,0.0054836152121424675,2000,40,35.47133755,0,-29.453758239746094
0.00039214,50.0,2189,0.10000000149011612,6821,0.0035632329527288675,2200,44,35.46238956818182,0,-32.410884857177734
0.00036414,50.0,2389,0.10000000149011612,7439,0.005553222261369228,2400,48,35.451427270833335,0,-35.391605377197266
0.00033613999999999996,50.0,2589,0.10000000149011612,8054,0.007316564209759235,2600,52,35.44625840384616,0,-38.3336296081543
0.00030814000000000004,50.0,2789,0.10000000149011612,8665,0.009324684739112854,2800,56,35.44070355357143,0,-41.22010040283203
0.00028014,50.0,2989,0.10000000149011612,9280,0.005604119040071964,3000,60,35.44559756666667,0,-44.15468978881836
0.00025214,50.0,3189,0.10000000149011612,9897,0.0060316105373203754,3200,64,35.434738015625,0,-47.088375091552734
0.00022414000000000003,50.0,3389,0.10000000149011612,10512,0.005836067721247673,3400,68,35.43774604411765,0,-49.94827651977539
0.00019614,50.0,3589,0.10000000149011612,11130,0.0063501750119030476,3600,72,35.437484708333336,0,-52.84379577636719
0.00016813999999999997,50.0,3789,0.10000000149011612,11742,0.006381761282682419,3800,76,35.435736973684214,0,-55.71757507324219
0.00014014000000000002,50.0,3989,0.10000000149011612,12369,0.005047963000833988,4000,80,35.4356827125,0,-58.582008361816406
0.00011214000000000001,50.0,4189,0.10000000149011612,12983,0.008040541782975197,4200,84,35.43396373809524,0,-61.39997100830078
8.413999999999998e-05,50.0,4389,0.10000000149011612,13596,0.005083602853119373,4400,88,35.432195590909096,0,-64.23441314697266
5.6140000000000035e-05,50.0,4589,0.10000000149011612,14211,0.006455279421061277,4600,92,35.431636652173914,0,-67.0553207397461
2.814000000000001e-05,50.0,4789,0.10000000149011612,14841,0.00740354647859931,4800,96,35.43422656250001,0,-69.86103820800781
