train/ent_coef,train/actor_loss,time/time_elapsed,train/learning_rate,time/fps,train/critic_loss,train/n_updates,rollout/ep_rew_mean,time/episodes,time/total_timesteps,rollout/ep_len_mean
0.10000000149011612,-3.238223075866699,609,0.00067214,0,0.0027691731229424477,189,42.2224905,4,200,50.0
0.10000000149011612,-6.512529373168945,1209,0.00064414,0,0.002873274264857173,389,42.262625375,8,400,50.0
0.10000000149011612,-9.90787124633789,1810,0.0006161399999999999,0,0.002981733065098524,589,42.32937441666667,12,600,50.0
0.10000000149011612,-13.427674293518066,2412,0.00058814,0,0.0051597352139651775,789,42.3729810625,16,800,50.0
0.10000000149011612,-16.9128360748291,3140,0.00056014,0,0.004441625438630581,989,42.4250606,20,1000,50.0
0.10000000149011612,-20.400739669799805,3742,0.00053214,0,0.013245083391666412,1189,42.49210745833334,24,1200,50.0
0.10000000149011612,-23.92860984802246,4355,0.0005041399999999999,0,0.006501298397779465,1389,42.525704071428585,28,1400,50.0
0.10000000149011612,-27.413646697998047,4958,0.00047614,0,0.005201380699872971,1589,42.56467778125,32,1600,50.0
0.10000000149011612,-30.901758193969727,5563,0.00044814,0,0.008773226290941238,1789,42.59512097222222,36,1800,50.0
0.10000000149011612,-34.38477325439453,6166,0.00042014000000000005,0,0.015424995683133602,1989,42.607116425,40,2000,50.0
0.10000000149011612,-37.88147735595703,6769,0.00039214,0,0.00772194005548954,2189,42.617765500000004,44,2200,50.0
0.10000000149011612,-41.31231689453125,7370,0.00036414,0,0.00808876845985651,2389,42.605911375,48,2400,50.0
0.10000000149011612,-44.74363708496094,7974,0.00033613999999999996,0,0.010460207238793373,2589,42.606211711538464,52,2600,50.0
0.10000000149011612,-48.220184326171875,8578,0.00030814000000000004,0,0.013766318559646606,2789,42.61301028571428,56,2800,50.0
0.10000000149011612,-51.615745544433594,9177,0.00028014,0,0.009114088490605354,2989,42.61086943333333,60,3000,50.0
0.10000000149011612,-54.9993782043457,9781,0.00025214,0,0.008937378413975239,3189,42.616997859375005,64,3200,50.0
0.10000000149011612,-58.420326232910156,10380,0.00022414000000000003,0,0.00745841208845377,3389,42.61390288235295,68,3400,50.0
0.10000000149011612,-61.78647994995117,10993,0.00019614,0,0.012549584731459618,3589,42.594531388888896,72,3600,50.0
0.10000000149011612,-65.17145538330078,11596,0.00016813999999999997,0,0.008693397045135498,3789,42.59351969736842,76,3800,50.0
0.10000000149011612,-68.53378295898438,12209,0.00014014000000000002,0,0.009012246504426003,3989,42.570047875,80,4000,50.0
0.10000000149011612,-71.90052032470703,12827,0.00011214000000000001,0,0.008618928492069244,4189,42.55996488095238,84,4200,50.0
0.10000000149011612,-75.23371887207031,13441,8.413999999999998e-05,0,0.010864077135920525,4389,42.54922217045455,88,4400,50.0
0.10000000149011612,-78.51887512207031,14043,5.6140000000000035e-05,0,0.011537428945302963,4589,42.54742513043479,92,4600,50.0
0.10000000149011612,-81.80791473388672,14659,2.814000000000001e-05,0,0.01462671346962452,4789,42.555286218750005,96,4800,50.0
