train/ent_coef,train/actor_loss,rollout/ep_rew_mean,time/episodes,train/learning_rate,train/n_updates,time/time_elapsed,rollout/ep_len_mean,train/critic_loss,time/fps,time/total_timesteps
0.10000000149011612,-2.8819820880889893,36.9118025,4,0.0006628533333333333,189,636,50.0,0.004975772462785244,0,200
0.10000000149011612,-5.792934417724609,37.011721875000006,8,0.00062552,389,1273,50.0,0.0026837142650038004,0,400
0.10000000149011612,-8.84969425201416,36.923482750000005,12,0.0005881866666666667,589,1958,50.0,0.00499601848423481,0,600
0.10000000149011612,-11.877784729003906,37.018987875,16,0.0005508533333333334,789,2605,50.0,0.0034385467879474163,0,800
0.10000000149011612,-15.054140090942383,37.0389001,20,0.0005135200000000001,989,3253,50.0,0.011875021271407604,0,1000
0.10000000149011612,-18.173561096191406,37.09402825,24,0.00047618666666666667,1189,3905,50.0,0.004079033154994249,0,1200
0.10000000149011612,-21.2376708984375,37.13300303571429,28,0.00043885333333333333,1389,4548,50.0,0.009901110082864761,0,1400
0.10000000149011612,-24.352432250976562,37.183181062500005,32,0.00040152,1589,5191,50.0,0.003986619412899017,0,1600
0.10000000149011612,-27.464969635009766,37.21201994444444,36,0.00036418666666666665,1789,5830,50.0,0.0052075255662202835,0,1800
0.10000000149011612,-30.537464141845703,37.215265475,40,0.0003268533333333333,1989,6476,50.0,0.004971259273588657,0,2000
0.10000000149011612,-33.58314514160156,37.20195920454546,44,0.00028952,2189,7140,50.0,0.004981593228876591,0,2200
0.10000000149011612,-36.68888473510742,37.1923828125,48,0.00025218666666666664,2389,7803,50.0,0.006953417789191008,0,2400
0.10000000149011612,-39.743404388427734,37.18664953846154,52,0.0002148533333333333,2589,8449,50.0,0.007070810534060001,0,2600
0.10000000149011612,-42.79710006713867,37.20768971428572,56,0.00017752000000000002,2789,9091,50.0,0.006059827283024788,0,2800
0.10000000149011612,-45.78837966918945,37.205015550000006,60,0.00014018666666666668,2989,9759,50.0,0.004572990350425243,0,3000
0.10000000149011612,-48.81892395019531,37.22370375,64,0.00010285333333333335,3189,10397,50.0,0.004942799918353558,0,3200
0.10000000149011612,-51.81201934814453,37.213017926470584,68,6.552000000000001e-05,3389,11039,50.0,0.009481925517320633,0,3400
0.10000000149011612,-54.763450622558594,37.21360865277778,72,2.8186666666666672e-05,3589,11677,50.0,0.005942030809819698,0,3600
