time/episodes,time/time_elapsed,train/critic_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,train/learning_rate,train/actor_loss,train/ent_coef,train/n_updates
4,592,0.0030053977388888597,47.339576,50.0,0,200,0.00067214,-3.6284823417663574,0.10000000149011612,189
8,1184,0.004750573076307774,47.242808249999996,50.0,0,400,0.00064414,-7.217399597167969,0.10000000149011612,389
12,1776,0.006609030533581972,47.17569849999999,50.0,0,600,0.0006161399999999999,-10.992094039916992,0.10000000149011612,589
16,2368,0.003840206190943718,47.1956874375,50.0,0,800,0.00058814,-14.794652938842773,0.10000000149011612,789
20,3000,0.007846578024327755,47.15286325,50.0,0,1000,0.00056014,-18.6185245513916,0.10000000149011612,989
24,3594,0.0044189090840518475,47.162464708333324,50.0,0,1200,0.00053214,-22.49544334411621,0.10000000149011612,1189
28,4191,0.013121003285050392,47.17606589285714,50.0,0,1400,0.0005041399999999999,-26.252120971679688,0.10000000149011612,1389
32,4781,0.013316823169589043,47.218206875,50.0,0,1600,0.00047614,-30.24286651611328,0.10000000149011612,1589
36,5380,0.008485641330480576,47.23720208333334,50.0,0,1800,0.00044814,-34.099693298339844,0.10000000149011612,1789
40,5975,0.02909833937883377,47.250443725000004,50.0,0,2000,0.00042014000000000005,-37.862945556640625,0.10000000149011612,1989
44,6566,0.007114900276064873,47.25768547727273,50.0,0,2200,0.00039214,-41.709163665771484,0.10000000149011612,2189
48,7159,0.009846584871411324,47.24248235416667,50.0,0,2400,0.00036414,-45.546695709228516,0.10000000149011612,2389
52,7751,0.00875897891819477,47.243270307692306,50.0,0,2600,0.00033613999999999996,-49.294071197509766,0.10000000149011612,2589
56,8346,0.00690365768969059,47.25200221428572,50.0,0,2800,0.00030814000000000004,-53.12993240356445,0.10000000149011612,2789
60,8942,0.009337736293673515,47.26883575000001,50.0,0,3000,0.00028014,-56.89518356323242,0.10000000149011612,2989
64,9532,0.008842473849654198,47.273636515625,50.0,0,3200,0.00025214,-60.701393127441406,0.10000000149011612,3189
68,10126,0.006984506733715534,47.285258544117646,50.0,0,3400,0.00022414000000000003,-64.46170043945312,0.10000000149011612,3389
72,10723,0.009574659168720245,47.27807529166667,50.0,0,3600,0.00019614,-68.16488647460938,0.10000000149011612,3589
76,11330,0.013720893301069736,47.28933225,50.0,0,3800,0.00016813999999999997,-71.9007797241211,0.10000000149011612,3789
80,11926,0.009551220573484898,47.2947725625,50.0,0,4000,0.00014014000000000002,-75.5987777709961,0.10000000149011612,3989
84,12523,0.011132092215120792,47.29368578571428,50.0,0,4200,0.00011214000000000001,-79.29279327392578,0.10000000149011612,4189
88,13112,0.010871803387999535,47.29047278409091,50.0,0,4400,8.413999999999998e-05,-82.9504165649414,0.10000000149011612,4389
92,13704,0.013085473328828812,47.29607954347826,50.0,0,4600,5.6140000000000035e-05,-86.54712677001953,0.10000000149011612,4589
96,14320,0.020298786461353302,47.30705701041666,50.0,0,4800,2.814000000000001e-05,-90.13404846191406,0.10000000149011612,4789
