time/time_elapsed,train/ent_coef,rollout/ep_rew_mean,train/n_updates,time/episodes,train/actor_loss,rollout/ep_len_mean,train/critic_loss,time/total_timesteps,train/learning_rate,time/fps
631,0.10000000149011612,43.57385425,189,4,-3.367828845977783,50.0,0.0037732133641839027,200,0.00067214,0
1236,0.10000000149011612,43.437955375,389,8,-6.676403999328613,50.0,0.0023588051553815603,400,0.00064414,0
1843,0.10000000149011612,43.38369208333334,589,12,-10.164847373962402,50.0,0.00846761092543602,600,0.0006161399999999999,0
2446,0.10000000149011612,43.37617025,789,16,-13.75895881652832,50.0,0.013424066826701164,800,0.00058814,0
3053,0.10000000149011612,43.38757645,989,20,-17.343242645263672,50.0,0.014690409414470196,1000,0.00056014,0
3661,0.10000000149011612,43.39735512499999,1189,24,-20.911632537841797,50.0,0.004757271148264408,1200,0.00053214,0
4263,0.10000000149011612,43.40116707142856,1389,28,-24.53744125366211,50.0,0.0063722459599375725,1400,0.0005041399999999999,0
4875,0.10000000149011612,43.442915406249995,1589,32,-28.044891357421875,50.0,0.004863627254962921,1600,0.00047614,0
5481,0.10000000149011612,43.45810688888889,1789,36,-31.58113670349121,50.0,0.006492259446531534,1800,0.00044814,0
6088,0.10000000149011612,43.442002724999995,1989,40,-35.14180374145508,50.0,0.009159153327345848,2000,0.00042014000000000005,0
6775,0.10000000149011612,43.437374954545454,2189,44,-38.697166442871094,50.0,0.005289362743496895,2200,0.00039214,0
7378,0.10000000149011612,43.443245895833336,2389,48,-42.27223587036133,50.0,0.008462879806756973,2400,0.00036414,0
8001,0.10000000149011612,43.446392846153834,2589,52,-45.791053771972656,50.0,0.014069529250264168,2600,0.00033613999999999996,0
8603,0.10000000149011612,43.45527451785714,2789,56,-49.31074142456055,50.0,0.012884159572422504,2800,0.00030814000000000004,0
9206,0.10000000149011612,43.45492405,2989,60,-52.77248001098633,50.0,0.007606007158756256,3000,0.00028014,0
9813,0.10000000149011612,43.455488375,3189,64,-56.270442962646484,50.0,0.00906001403927803,3200,0.00025214,0
10411,0.10000000149011612,43.461318397058825,3389,68,-59.764339447021484,50.0,0.007625787518918514,3400,0.00022414000000000003,0
11020,0.10000000149011612,43.458727180555556,3589,72,-63.23478317260742,50.0,0.009368371218442917,3600,0.00019614,0
11621,0.10000000149011612,43.470571618421054,3789,76,-66.67229461669922,50.0,0.007200235966593027,3800,0.00016813999999999997,0
12227,0.10000000149011612,43.47473062500001,3989,80,-70.11927795410156,50.0,0.008119744248688221,4000,0.00014014000000000002,0
12832,0.10000000149011612,43.47034190476191,4189,84,-73.52144622802734,50.0,0.007765613030642271,4200,0.00011214000000000001,0
13436,0.10000000149011612,43.46806996590909,4389,88,-76.93611145019531,50.0,0.010379797779023647,4400,8.413999999999998e-05,0
14068,0.10000000149011612,43.470400043478264,4589,92,-80.30724334716797,50.0,0.010777425952255726,4600,5.6140000000000035e-05,0
14670,0.10000000149011612,43.478771093750005,4789,96,-83.65332794189453,50.0,0.01260317675769329,4800,2.814000000000001e-05,0
