train/actor_loss,train/n_updates,time/total_timesteps,train/ent_coef,time/episodes,time/fps,train/critic_loss,train/learning_rate,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean
-3.3968124389648438,189,200,0.10000000149011612,4,0,0.0033967229537665844,0.00067214,606,50.0,44.502657250000006
-6.70332145690918,389,400,0.10000000149011612,8,0,0.004780138842761517,0.00064414,1214,50.0,44.618368125
-10.26213264465332,589,600,0.10000000149011612,12,0,0.0050698393024504185,0.0006161399999999999,1814,50.0,44.65094641666667
-13.833066940307617,789,800,0.10000000149011612,16,0,0.015328694134950638,0.00058814,2424,50.0,44.6840403125
-17.447067260742188,989,1000,0.10000000149011612,20,0,0.005524957552552223,0.00056014,3029,50.0,44.741648649999995
-21.024444580078125,1189,1200,0.10000000149011612,24,0,0.024213168770074844,0.00053214,3642,50.0,44.785510249999994
-24.58148193359375,1389,1400,0.10000000149011612,28,0,0.006908778101205826,0.0005041399999999999,4249,50.0,44.80473207142857
-28.248043060302734,1589,1600,0.10000000149011612,32,0,0.007532136514782906,0.00047614,4851,50.0,44.86219059375
-31.78498077392578,1789,1800,0.10000000149011612,36,0,0.00593810249119997,0.00044814,5454,50.0,44.86617825
-35.406272888183594,1989,2000,0.10000000149011612,40,0,0.011116305366158485,0.00042014000000000005,6062,50.0,44.874289375000004
-38.990928649902344,2189,2200,0.10000000149011612,44,0,0.008224144577980042,0.00039214,6666,50.0,44.89517313636364
-42.4212646484375,2389,2400,0.10000000149011612,48,0,0.014805685728788376,0.00036414,7272,50.0,44.90209491666667
-46.07046127319336,2589,2600,0.10000000149011612,52,0,0.015770580619573593,0.00033613999999999996,7878,50.0,44.899984538461545
-49.70549011230469,2789,2800,0.10000000149011612,56,0,0.017264124006032944,0.00030814000000000004,8481,50.0,44.91289914285714
-53.252967834472656,2989,3000,0.10000000149011612,60,0,0.009971197694540024,0.00028014,9085,50.0,44.92389548333333
-56.7608757019043,3189,3200,0.10000000149011612,64,0,0.010834136977791786,0.00025214,9692,50.0,44.928359140625005
-60.286869049072266,3389,3400,0.10000000149011612,68,0,0.01181222964078188,0.00022414000000000003,10297,50.0,44.926635852941175
-63.783016204833984,3589,3600,0.10000000149011612,72,0,0.009973552078008652,0.00019614,10901,50.0,44.927715416666665
-67.27179718017578,3789,3800,0.10000000149011612,76,0,0.008308963850140572,0.00016813999999999997,11507,50.0,44.954987026315784
-70.77643585205078,3989,4000,0.10000000149011612,80,0,0.007642669603228569,0.00014014000000000002,12227,50.0,44.972954775
-74.22493743896484,4189,4200,0.10000000149011612,84,0,0.0077874669805169106,0.00011214000000000001,12831,50.0,44.98682919047619
-77.66743469238281,4389,4400,0.10000000149011612,88,0,0.008544567972421646,8.413999999999998e-05,13436,50.0,44.99163648863637
-81.11167907714844,4589,4600,0.10000000149011612,92,0,0.011896267533302307,5.6140000000000035e-05,14041,50.0,45.01200168478261
-84.51839447021484,4789,4800,0.10000000149011612,96,0,0.012619943358004093,2.814000000000001e-05,14644,50.0,45.033205593750004
