time/time_elapsed,time/episodes,train/ent_coef,time/total_timesteps,train/learning_rate,rollout/ep_len_mean,train/n_updates,time/fps,train/actor_loss,train/critic_loss,rollout/ep_rew_mean
628,4,0.10000000149011612,200,0.00067214,50.0,189,0,-3.4249353408813477,0.004680037498474121,45.09583325
1261,8,0.10000000149011612,400,0.00064414,50.0,389,0,-6.84021520614624,0.004573785699903965,45.10778825
1926,12,0.10000000149011612,600,0.0006161399999999999,50.0,589,0,-10.422154426574707,0.005508990027010441,45.212309749999996
2536,16,0.10000000149011612,800,0.00058814,50.0,789,0,-14.037800788879395,0.007916733622550964,45.44238025
3143,20,0.10000000149011612,1000,0.00056014,50.0,989,0,-17.741207122802734,0.005839325021952391,45.585760750000006
3822,24,0.10000000149011612,1200,0.00053214,50.0,1189,0,-21.389272689819336,0.006526646204292774,45.728481916666674
4435,28,0.10000000149011612,1400,0.0005041399999999999,50.0,1389,0,-25.102872848510742,0.01635020598769188,45.802545964285706
5040,32,0.10000000149011612,1600,0.00047614,50.0,1589,0,-28.81073760986328,0.008247051388025284,45.89611928125
5654,36,0.10000000149011612,1800,0.00044814,50.0,1789,0,-32.48204040527344,0.03553923964500427,45.94527377777778
6272,40,0.10000000149011612,2000,0.00042014000000000005,50.0,1989,0,-36.17668151855469,0.007132172584533691,45.951586175
6886,44,0.10000000149011612,2200,0.00039214,50.0,2189,0,-39.84953308105469,0.009421547874808311,45.98007584090909
7496,48,0.10000000149011612,2400,0.00036414,50.0,2389,0,-43.42183303833008,0.01455848477780819,45.98318785416666
8099,52,0.10000000149011612,2600,0.00033613999999999996,50.0,2589,0,-47.09016799926758,0.012436341494321823,46.01000296153845
8708,56,0.10000000149011612,2800,0.00030814000000000004,50.0,2789,0,-50.77081298828125,0.008674608543515205,46.03701771428572
9320,60,0.10000000149011612,3000,0.00028014,50.0,2989,0,-54.34974670410156,0.012793012894690037,46.06145018333334
9943,64,0.10000000149011612,3200,0.00025214,50.0,3189,0,-57.9571533203125,0.008318798616528511,46.079604984375
10553,68,0.10000000149011612,3400,0.00022414000000000003,50.0,3389,0,-61.54539489746094,0.009961863979697227,46.09800394117647
11227,72,0.10000000149011612,3600,0.00019614,50.0,3589,0,-65.05571746826172,0.007585236802697182,46.10477763888889
11836,76,0.10000000149011612,3800,0.00016813999999999997,50.0,3789,0,-68.62683868408203,0.00907423160970211,46.12866630263158
12451,80,0.10000000149011612,4000,0.00014014000000000002,50.0,3989,0,-72.18042755126953,0.005829010158777237,46.1472752
13064,84,0.10000000149011612,4200,0.00011214000000000001,50.0,4189,0,-75.72760772705078,0.0064878202974796295,46.14375430952381
13675,88,0.10000000149011612,4400,8.413999999999998e-05,50.0,4389,0,-79.29206085205078,0.008109654299914837,46.13912448863637
14286,92,0.10000000149011612,4600,5.6140000000000035e-05,50.0,4589,0,-82.78755187988281,0.008748631924390793,46.14805090217392
14901,96,0.10000000149011612,4800,2.814000000000001e-05,50.0,4789,0,-86.2516098022461,0.011402430944144726,46.16756486458333
